FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_155c,1170189,POINT (16.322081982038437 48.21853012281398),PA Clemens-Hofbauer-Platz,17,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_155d,1170190,POINT (16.38599028029779 48.217111149947975),Rosa-Jochmann-Park,2,"Klettern, Rutschen, Sandspielen, Schaukeln","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_155e,1170191,POINT (16.293692386126068 48.177949567115306),PA Adolf-Lorenz-Gasse,13,"Drehen, Fitness, Fußball, Rutschen, Schaukeln, Streetball","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_155f,1170192,POINT (16.36343588137236 48.24900816055259),PA 12. Februar-Platz,19,"Drehen, Karussell","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1560,1170193,POINT (16.363756643639203 48.249927836397525),PA 12. Februar-Platz,19,"Karussell, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1561,1170194,POINT (16.45439903461851 48.268065576298675),PA Seyringer Straße,21,"Basketball, Fitness, Fußball","Ballspielkäfig, Generationenspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1562,1170195,POINT (16.358551688110374 48.223363564561815),Liechtensteinpark,9,"Basketball, Fußball, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Seilbahn, Spielhaus, Tischtennis, Trampolin, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1563,1170196,POINT (16.41757877392813 48.22215445399157),Donauinsel Spielplatz 4,22,"Klettern, Rutschen, Sand-Matsch, Schaukeln, Seilbahn, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1564,1170197,POINT (16.437305875704276 48.20034481981179),Prater - Untere Heustadelwiese,2,"Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1565,1170198,POINT (16.378641071742603 48.173512118296046),PA Reumannplatz,10,", Balancieren, Fitness, Karussell, Klettern, Rutschen, Sandspiel, Schauckeln, Slackline, Trampolin, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1566,1170199,POINT (16.368586326170345 48.17139150139228),PA Van-der-Nüll-Gasse,10,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1567,1170200,POINT (16.41542396132975 48.17939523875833),PA Eisteichstraße,11,"Basketball, Fitness, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1568,1170201,POINT (16.35736867873193 48.253743696472455),Heiligenstädter Park,19,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Tischtennis, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Spielplatz, Wasserspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1569,1170202,POINT (16.36090289313786 48.25379850317907),Heiligenstädter Park,19,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156a,1170203,POINT (16.361791762409542 48.252056831561696),Heiligenstädter Park,19,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156b,1170204,POINT (16.524448601215177 48.212798154809136),PA Raphael-Donner-Allee,22,"Beachvolleyball, Fitness, Klettern, Rutschen, Sand-Matsch, Sandkiste, Schaukeln, Skaten, Tischtennis, Wasserspiel, Wippen","Ballspielplatz, Generationenspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156c,1170205,POINT (16.267300905498434 48.161329775211435),Napoleonwald,13,"Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156d,1170206,POINT (16.268709137797007 48.161043261506435),Napoleonwald,13,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156e,1170207,POINT (16.360506082538976 48.17692363872532),Alois-Greb-Park,10,", Basketball, Fußball, Klettern, Sandspielen, Schaukeln, Seilbahn, Spieltier, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_156f,1170208,POINT (16.393094149425767 48.251277539455685),Wasserpark,21,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1570,1170209,POINT (16.3948605172637 48.25225510396991),Wasserpark,21,"Balancieren, Basketball, Drehen, Fußball, Hängematte, Hüpfen, Karussell, Klangspiel, Klettern, Rodelhügel, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Trampolin, Wippen","Ballspielkäfig, Ballspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1571,1170210,POINT (16.27172795939708 48.166413333351684),PA Lainzerbachstraße,13,"Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1572,1170211,POINT (16.30217051197011 48.22333239587651),PA Spinozagasse,16,"Klettern, Sandspielen, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1573,1170212,POINT (16.412191733638206 48.22099528006846),Rechter Donaudamm Spielplatz 7,2,"Karussell, Klettern, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1574,1170213,POINT (16.337791930529438 48.24482738999842),Olympiapark,19,"Basketball, Fußball, Klettern, Reck, Rutschen, Sandkiste, Sandspiel, Schaukeln, Wasserspiel, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1575,1170214,POINT (16.339035225594902 48.24473529060935),Olympiapark,19,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1576,1170215,POINT (16.339482646945424 48.18952138706712),Fritz-Imhoff-Park,6,", Balancieren, Basketball, Hüpfen, Klettern, Rutschen, Sand-Matsch, Schauckeln, Schaukeln, Slacklining, Tischtenniss, Volleyball, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1577,1170216,POINT (16.480648549984398 48.2374904341202),PA Quadenstraße,22,Streetball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1578,1170217,POINT (16.38903060973368 48.25634746976175),Floridsdorfer Aupark,21,"Drehen, Fußball, Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Tischtennis, Wasserspiel, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1579,1170218,POINT (16.34401451577875 48.19379411672662),Vinzenz-von-Paul-Park,6,", Fitnessgerät, Sandspielen","Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_157a,1170219,POINT (16.353499959514476 48.17510329676567),Martin-Luther-King-Park,10,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_157b,1170220,POINT (16.354497080699588 48.175690901553956),Martin-Luther-King-Park,10,", Klettern, Rutschen, Wippen",Spielplatz,
